Timestamp,Number of Friends,Approximate No of Friend Requests sent in a week,Approximate No of Friend Requests received in a week,Approximate No of messages sent in a week,Approximate No of messages received in a week,Approximate No of tags in a week,Approximate No of urls in messages sent/received in a week,Approximate No of posts in a week,message
4/25/2015 17:40,448,2,2,50,70,2,10,1,If you don't have any referrals in Microsoft then apply for it during career fair in September
4/25/2015 17:45,438,10,15,100,150,1,10,2,message
4/25/2015 17:52,700,1,1,10,20,5,5,1,message
4/25/2015 18:00,337,1,1,20,20,0,0,0,message
4/25/2015 18:09,1044,1,1,500,500,1,1,3,message
4/25/2015 18:18,523,1,2,50,50,5,10,0,message
4/25/2015 18:24,1100,1,2,15,17,0,0,0,message
4/25/2015 18:52,523,1,1,25,25,5,5,3,message
4/25/2015 19:06,621,3,5,230,230,8,5,2,message
4/25/2015 19:06,791,5,10,600,600,10,10,3,message
4/25/2015 19:09,613,1,1,10,10,2,5,1,message
4/25/2015 19:12,586,1,1,2,2,2,5,1,message
4/25/2015 20:35,483,1,2,10,10,1,1,1,message
4/25/2015 20:58,500,1,1,10,10,1,1,30,message
4/25/2015 21:10,700,5,4,500,500,5,100,4,message
4/25/2015 21:43,500,1,1,25,25,5,1,1,message
4/25/2015 22:47,800,5,2,12,8,2,3,15,message
4/25/2015 22:49,400,1,1,25,15,10,5,30,message
4/25/2015 23:10,395,1,1,20,20,1,8,1,message
4/25/2015 23:13,500,1,2,20,20,5,5,10,message
4/25/2015 23:27,300,1,3,5,5,1,1,1,message
4/25/2015 23:41,740,2,2,20,20,2,5,1,message
4/25/2015 23:45,380,2,2,2,5,1,3,1,message
4/26/2015 0:35,485,2,2,50,40,10,5,6,message
4/26/2015 0:54,625,3,2,10,10,0,1,1,message
4/26/2015 2:12,551,10,20,1000,2000,5,10,5,message
4/26/2015 2:36,715,10,10,500,500,1,20,2,message
4/26/2015 2:44,500,1,1,10,10,0,1,1,message
4/26/2015 2:47,392,1,6,10,10,1,4,1,message
4/26/2015 2:48,400,1,2,1,1,0,5,1,message
4/26/2015 2:55,353,1,1,100,50,10,10,1,message
4/26/2015 3:27,500,1,4,50,50,4,5,7,message
4/27/2015 1:55,300,1,1,1000,1000,30,200,2,message
4/27/2015 4:52,300,1,2,50,50,2,10,1,message
4/27/2015 11:24,200,5,7,500,500,5,2,100,message
5/8/2015 15:23,410,5,8,150,200,5,10,2,message
5/8/2015 15:41,250,1,1,5,10,0,1,1,message
5/8/2015 17:31,610,2,2,20,20,5,4,5,message
5/8/2015 17:49,900,1,3,5,10,50,10,1,message
5/9/2015 7:47,450,1,5,3,3,1,1,1,message
5/9/2015 15:42,200,1,1,20,25,0,1,1,message
5/9/2015 18:12,469,1,1,4,4,0,1,3,message
5/9/2015 18:33,400,1,1,15,25,2,1,2,message
5/9/2015 19:37,195,1,1,50,50,5,5,2,message
5/9/2015 23:01,1100,10,30,10,20,5,10,5,message
5/10/2015 0:28,540,3,7,10,20,4,8,2,message
5/10/2015 0:29,540,3,7,10,20,4,8,2,message
5/10/2015 1:10,300,1,2,1,1,1,1,1,message
5/10/2015 1:36,600,1,1,2,2,2,1,1,message
5/10/2015 8:58,150,2,5,10,20,5,5,15,message
5/10/2015 12:37,550,1,2,10,10,1,1,1,message
5/10/2015 13:09,336,5,10,50,100,10,2,5,message
5/10/2015 13:39,585,1,15,3,20,0,5,1,message
5/10/2015 22:24,500,1,3,5,2,0,3,1,message
5/10/2015 23:38,330,1,2,1,3,3,3,2,message
5/11/2015 9:55,10,6,4,5,6,1,1,20,message
5/11/2015 18:28,500,1,1,1,1,0,1,1,message
5/13/2015 21:40,82,1,1,10,10,1,1,15,message
5/14/2015 16:46,430,4,8,100,100,4,3,1,message
5/14/2015 16:52,631,7,18,89,100,1,1,1,message
5/14/2015 16:52,245,10,19,10,12,1,1,1,message
5/14/2015 16:56,591,2,10,150,100,1,1,1,I am sorry to say all people and mortgages do NOT qualify
5/14/2015 16:57,252,10,5,100,100,1,10,4,message
5/14/2015 16:57,252,10,5,100,100,1,10,4,message
5/14/2015 17:01,989,1,10,40,30,1,20,5,message
5/14/2015 17:01,55,20,5,150,30,0,40,20,message
